waveTime,time,waveTime
waveTimeBounds,time_bounds,time_bounds
waveFlagPrimary,waveFlagPrimary,waveFlagPrimary
waveFlagSecondary,waveFlagSecondary,waveFlagSecondary
waveHs,hs,waveTime
waveTp,nan,waveTime
waveDp,nan,waveTime
waveTa,nan,waveTime
waveFrequency,f,waveFrequency
waveFrequencyBounds,freq_bounds,freq_bounds
waveFrequencyFlagPrimary,nan,nan
waveFrequencyFlagSecondary,nan,nan
waveBandwidth,bw,waveFrequency
waveDirection,dir,waveDirection
waveDirectionBounds,nan,nan
metaSiteLabel,nan,nan
metaLatitude,lat,nan
metaLongitude,lon,nan
metaWaterDepth,depth,nan
waveMeanDirection,nan,nan
waveDirectionalSpectrum,nan,nan
