waveTime,time,waveTime
waveTimeBounds,time_bounds,time_bounds
waveFlagPrimary,waveFlagPrimary,waveFlagPrimary
waveFlagSecondary,waveFlagSecondary,waveFlagSecondary
waveHs,waveHs,waveTime
waveTp,waveTp,waveTime
waveDp,waveMeanDirection,waveTime
waveTa,waveTm,waveTime
waveFrequency,waveFrequency,waveFrequency
waveFrequencyBounds,waveFrequencyBounds,waveFrequencyBounds
waveFrequencyFlagPrimary,nan,nan
waveFrequencyFlagSecondary,nan,nan
waveBandwidth,waveBandwidth,waveFrequency
waveEnergyDensity,nan,nan
waveMeanDirection,nan,nan
waveA1Value,nan,nan
waveB1Value,nan,nan
waveA2Value,nan,nan
waveB2Value,nan,nan
waveDirection,waveDirectionBins,waveDirection
waveDirectionBounds,waveDirectionBounds,waveDirection
waveDirectionalSpectrum,nan,nan
metaSiteLabel,station_name,nan
metaLatitude,latitude,nan
metaLongitude,longitude,nan
metaWaterDepth,nan,nan
